Time,Emotion,Attention
23:27:16,No Face,False
23:27:16,No Face,False
23:27:16,No Face,False
23:27:16,No Face,False
23:27:17,No Face,False
23:27:17,No Face,False
23:27:17,No Face,False
23:27:17,No Face,False
23:27:17,No Face,False
23:27:17,No Face,False
23:27:17,No Face,False
23:27:17,No Face,False
23:27:18,No Face,False
23:27:18,No Face,False
23:27:18,No Face,False
23:27:18,No Face,False
23:27:18,No Face,False
23:27:18,No Face,False
23:27:18,No Face,False
23:27:19,No Face,False
23:27:19,No Face,False
23:27:19,No Face,False
23:27:19,No Face,False
23:27:19,No Face,False
23:27:19,No Face,False
23:27:19,No Face,False
23:27:20,No Face,False
23:27:20,No Face,False
23:27:20,No Face,False
23:27:20,No Face,False
23:27:20,No Face,False
23:27:20,No Face,False
23:27:20,No Face,False
23:27:21,No Face,False
23:27:21,No Face,False
23:27:21,No Face,False
23:27:21,No Face,False
23:27:21,No Face,False
23:27:21,No Face,False
23:27:21,No Face,False
23:27:21,No Face,False
23:27:22,No Face,False
23:27:22,No Face,False
23:27:22,No Face,False
23:27:22,No Face,False
23:27:22,No Face,False
23:27:22,No Face,False
23:27:22,No Face,False
23:27:23,No Face,False
23:27:23,No Face,False
23:27:23,No Face,False
23:27:23,No Face,False
23:27:23,No Face,False
23:27:23,No Face,False
23:27:23,No Face,False
23:27:24,No Face,False
23:27:24,No Face,False
23:27:24,No Face,False
23:27:24,No Face,False
23:27:24,No Face,False
23:27:25,No Face,False
23:27:25,No Face,False
23:27:25,No Face,False
23:27:25,No Face,False
23:27:25,No Face,False
23:27:25,No Face,False
23:27:25,No Face,False
23:27:26,No Face,False
23:27:26,No Face,False
23:27:26,No Face,False
23:27:26,No Face,False
23:27:26,No Face,False
23:27:26,No Face,False
23:27:26,No Face,False
23:27:26,No Face,False
23:27:27,No Face,False
23:27:27,No Face,False
23:27:27,No Face,False
23:27:27,No Face,False
23:27:27,No Face,False
23:27:27,No Face,False
23:27:27,No Face,False
23:27:28,No Face,False
23:27:28,No Face,False
23:27:28,No Face,False
23:27:28,No Face,False
23:27:28,No Face,False
23:27:28,No Face,False
23:27:28,No Face,False
23:27:29,No Face,False
23:27:29,No Face,False
23:27:29,No Face,False
23:27:29,No Face,False
23:27:29,No Face,False
23:27:29,No Face,False
23:27:29,No Face,False
23:27:29,No Face,False
23:27:30,No Face,False
23:27:30,No Face,False
23:27:30,No Face,False
23:27:30,No Face,False
23:27:30,No Face,False
23:27:30,No Face,False
23:27:30,No Face,False
23:27:30,No Face,False
23:27:31,No Face,False
23:27:31,No Face,False
23:27:31,No Face,False
23:27:31,No Face,False
23:27:31,No Face,False
23:27:31,No Face,False
23:27:32,No Face,False
23:27:32,No Face,False
23:27:32,No Face,False
23:27:32,No Face,False
23:27:32,No Face,False
23:27:32,No Face,False
23:27:32,No Face,False
23:27:33,No Face,False
23:27:33,No Face,False
23:27:33,No Face,False
23:27:33,Fear,True
23:27:33,No Face,False
23:27:34,Fear,True
23:27:34,No Face,False
23:27:34,No Face,False
23:27:34,No Face,False
23:27:34,No Face,False
23:27:34,No Face,False
23:27:35,No Face,False
23:27:35,No Face,False
23:27:35,No Face,False
23:27:35,No Face,False
23:27:35,No Face,False
23:27:35,No Face,False
23:27:35,No Face,False
23:27:36,No Face,False
23:27:36,No Face,False
23:27:36,No Face,False
23:27:36,No Face,False
23:27:36,No Face,False
23:27:36,No Face,False
23:27:36,No Face,False
23:27:37,No Face,False
23:27:37,No Face,False
23:27:37,No Face,False
23:27:37,No Face,False
23:27:37,No Face,False
23:27:37,No Face,False
23:27:37,No Face,False
23:27:38,No Face,False
23:27:38,No Face,False
23:27:38,No Face,False
23:27:38,No Face,False
23:27:38,No Face,False
23:27:38,No Face,False
23:27:38,No Face,False
23:27:38,No Face,False
23:27:39,No Face,False
23:27:39,No Face,False
23:27:39,No Face,False
23:27:39,No Face,False
23:27:39,No Face,False
23:27:39,No Face,False
23:27:39,No Face,False
23:27:40,No Face,False
23:27:40,No Face,False
23:27:40,No Face,False
23:27:40,No Face,False
23:27:40,No Face,False
23:27:40,No Face,False
23:27:40,No Face,False
23:27:40,No Face,False
23:27:41,No Face,False
23:27:41,No Face,False
23:27:41,No Face,False
23:27:41,No Face,False
23:27:41,No Face,False
,Angry,
,Angry,
